metric,gender,age_days,mean,sd_plus_1,sd_minus_1,sd_plus_2,sd_minus_2
height,male,0,49.9,51.8,48.0,53.7,46.1
height,male,183,67.6,69.8,65.5,71.9,63.3
height,male,365,75.7,78.1,73.4,80.5,71.0
height,male,730,87.8,90.9,84.8,93.9,81.7
height,male,1095,96.1,99.8,92.4,103.5,88.7
height,male,1461,103.3,107.5,99.1,111.7,94.9
height,male,1826,110.0,114.6,105.3,119.2,100.7
weight,male,0,3.3,3.9,2.9,4.4,2.5
weight,male,183,7.9,8.8,7.1,9.8,6.4
weight,male,365,9.6,10.8,8.6,12.0,7.7
weight,male,730,12.2,13.6,10.8,15.3,9.7
weight,male,1095,14.3,16.2,12.7,18.3,11.3
weight,male,1461,16.3,18.6,14.4,21.2,12.7
weight,male,1826,18.3,21.0,16.0,24.2,14.1
head_circumference,male,0,34.5,35.7,33.2,37.0,31.9
head_circumference,male,183,43.3,44.6,42.1,45.8,40.9
head_circumference,male,365,46.1,47.4,44.8,48.6,43.5
head_circumference,male,730,48.3,49.6,46.9,51.0,45.5
head_circumference,male,1095,49.5,50.9,48.0,52.3,46.6
head_circumference,male,1461,50.2,51.7,48.7,53.1,47.3
head_circumference,male,1826,50.7,52.2,49.2,53.7,47.7
height,female,0,49.1,51.0,47.3,52.9,45.4
height,female,183,65.7,68.0,63.5,70.3,61.2
height,female,365,74.0,76.6,71.4,79.2,68.9
height,female,730,85.7,88.9,82.5,92.2,79.3
height,female,1095,95.1,98.9,91.2,102.7,87.4
height,female,1461,102.7,107.0,98.4,111.3,94.1
height,female,1826,109.4,114.2,104.7,118.9,99.9
weight,female,0,3.2,3.7,2.8,4.2,2.4
weight,female,183,7.3,8.2,6.5,9.3,5.7
weight,female,365,8.9,10.1,7.9,11.5,7.0
weight,female,730,11.5,13.0,10.2,14.8,9.0
weight,female,1095,13.9,15.8,12.2,18.1,10.8
weight,female,1461,16.1,18.5,14.0,21.5,12.3
weight,female,1826,18.2,21.2,15.8,24.9,13.7
head_circumference,female,0,33.9,35.1,32.7,36.2,31.5
head_circumference,female,183,42.2,43.5,40.9,44.8,39.6
head_circumference,female,365,44.9,46.3,43.5,47.6,42.2
head_circumference,female,730,47.2,48.6,45.8,50.0,44.4
head_circumference,female,1095,48.5,49.9,47.1,51.3,45.7
head_circumference,female,1461,49.3,50.8,47.9,52.2,46.5
head_circumference,female,1826,49.9,51.3,48.5,52.8,47.1
